# [0]ell [1]TgradT [2]EgradE [3]BgradB [4]TgradE
1.800000000000000000e+02 5.243679101567263388e+03 8.357337591193414461e-01 1.529333474821691942e-02 -3.565853849063086756e+01
1.810000000000000000e+02 5.266444791439272194e+03 8.253897663866605061e-01 1.546249975493115165e-02 -3.489072904158259547e+01
1.820000000000000000e+02 5.288744544681479056e+03 8.152318448455063704e-01 1.563250315301291035e-02 -3.409584402605467091e+01
1.830000000000000000e+02 5.310571354308628543e+03 8.052824524168461506e-01 1.580333741639014522e-02 -3.327403838834202077e+01
1.840000000000000000e+02 5.331910783034203632e+03 7.955784919534339972e-01 1.597499043924050996e-02 -3.242554073514404678e+01
1.850000000000000000e+02 5.352763202711603299e+03 7.861572029143945040e-01 1.614745381828504994e-02 -3.155028511162915805e+01
1.860000000000000000e+02 5.373114182043417713e+03 7.770407263312955060e-01 1.632071505520082955e-02 -3.064864772869012555e+01
1.870000000000000000e+02 5.392964096470740515e+03 7.682596578375494589e-01 1.649476506018452207e-02 -2.972071023034943238e+01
1.880000000000000000e+02 5.412305890509704113e+03 7.598538152712897009e-01 1.666959072713697712e-02 -2.876677527096688891e+01
1.890000000000000000e+02 5.431125207395168218e+03 7.518545194154158118e-01 1.684518231679894493e-02 -2.778699837937763917e+01
1.900000000000000000e+02 5.449422366452516144e+03 7.442956783632393991e-01 1.702152609934918723e-02 -2.678168234574598472e+01
1.910000000000000000e+02 5.467190384554112825e+03 7.372093431294469701e-01 1.719861171101478431e-02 -2.575113021728268947e+01
1.920000000000000000e+02 5.484414853726460024e+03 7.306301341788381531e-01 1.737642474460930966e-02 -2.469542394511493200e+01
1.930000000000000000e+02 5.501088799176738576e+03 7.245915919043133258e-01 1.755495424306009397e-02 -2.361486676890179837e+01
1.940000000000000000e+02 5.517219913779204944e+03 7.191290430318700855e-01 1.773418572904629162e-02 -2.250990904293982098e+01
1.950000000000000000e+02 5.532793860213803782e+03 7.142781790060844793e-01 1.791410699143139093e-02 -2.138078041104301263e+01
1.960000000000000000e+02 5.547810972124582804e+03 7.100743721789122276e-01 1.809470271178189107e-02 -2.022793135759379268e+01
1.970000000000000000e+02 5.562271643575417329e+03 7.065547568921889399e-01 1.827596062259010529e-02 -1.905166527054026560e+01
1.980000000000000000e+02 5.576176210303800872e+03 7.037546742048806925e-01 1.845786471608588247e-02 -1.785235908582093600e+01
1.990000000000000000e+02 5.589502986297141433e+03 7.017097782351775503e-01 1.864040214182360530e-02 -1.663031631211378425e+01
2.000000000000000000e+02 5.602267035491191564e+03 7.004553883444522011e-01 1.882355632222995276e-02 -1.538606119153124752e+01
2.010000000000000000e+02 5.614453972106632136e+03 7.000293533011717750e-01 1.900731384684030759e-02 -1.411982327967405126e+01
2.020000000000000000e+02 5.626056449007251103e+03 7.004669794142137640e-01 1.919165759952000047e-02 -1.283219831459808979e+01
2.030000000000000000e+02 5.637052398757224182e+03 7.018053680047932064e-01 1.937657362934770700e-02 -1.152341379743430316e+01
2.040000000000000000e+02 5.647449134732149105e+03 7.040805430980811019e-01 1.956204428709490059e-02 -1.019399148470501260e+01
2.050000000000000000e+02 5.657217243936594969e+03 7.073295876856912079e-01 1.974805513852475464e-02 -8.844379711063384164e+00
2.060000000000000000e+02 5.666364047548237977e+03 7.115877623648623196e-01 1.993458800396681260e-02 -7.474953123249322040e+00
2.070000000000000000e+02 5.674874859446660594e+03 7.168928746287863696e-01 2.012162795949996516e-02 -6.086093934867072619e+00
2.080000000000000000e+02 5.682742291700002170e+03 7.232808911724409873e-01 2.030915643110490013e-02 -4.678404852220298338e+00
2.090000000000000000e+02 5.689995792657853599e+03 7.307873872234502688e-01 2.049715793488554247e-02 -3.252422521095407415e+00
2.100000000000000000e+02 5.696620618977713093e+03 7.394497845382786982e-01 2.068561346259497474e-02 -1.808705469774721353e+00
2.110000000000000000e+02 5.702624155361892917e+03 7.493051009379242400e-01 2.087450712144465342e-02 -3.478035516109626579e-01
2.120000000000000000e+02 5.708021074406285152e+03 7.603877920889080544e-01 2.106381945753743601e-02 1.129720333306101443e+00
2.130000000000000000e+02 5.712811403955509377e+03 7.727355872807134540e-01 2.125353417316367538e-02 2.623311960262429299e+00
2.140000000000000000e+02 5.717002464251801030e+03 7.863851211939937302e-01 2.144363143784015768e-02 4.132411417958219424e+00
2.150000000000000000e+02 5.720594287713557605e+03 8.013660110784561752e-01 2.163409456841474537e-02 5.656430725092475242e+00
2.160000000000000000e+02 5.723572150531465923e+03 8.177229494540335653e-01 2.182490337960696358e-02 7.194774765167310626e+00
2.170000000000000000e+02 5.725936094131131540e+03 8.354855272908804364e-01 2.201604083540321596e-02 8.746826237536591719e+00
2.180000000000000000e+02 5.727686100055611860e+03 8.546829762297299959e-01 2.220748643277146994e-02 1.031207828509971058e+01
2.190000000000000000e+02 5.728814867294220676e+03 8.753595565624415764e-01 2.239922281548925934e-02 1.188984755491644663e+01
2.200000000000000000e+02 5.729315038169218496e+03 8.975444705820844193e-01 2.259122919496695317e-02 1.347961258467874401e+01
2.210000000000000000e+02 5.729194012578102956e+03 9.212672548427637276e-01 2.278348793290910224e-02 1.508063137186474023e+01
2.220000000000000000e+02 5.728437093986937725e+03 9.465717750756205140e-01 2.297597798667308858e-02 1.669245600687220588e+01
2.230000000000000000e+02 5.727051686278095076e+03 9.734801921315175965e-01 2.316868147236926870e-02 1.831427118571302870e+01
2.240000000000000000e+02 5.725045130321562283e+03 1.002028997880885175e+00 2.336157713304254022e-02 1.994555568057212014e+01
2.250000000000000000e+02 5.722417486953118896e+03 1.032240324751471983e+00 2.355464687526400563e-02 2.158549439259660474e+01
2.260000000000000000e+02 5.719161417691067982e+03 1.064157974699272202e+00 2.374786926248392827e-02 2.323356622363176882e+01
2.270000000000000000e+02 5.715284331597225901e+03 1.097811387590311050e+00 2.394122603216704281e-02 2.488902969667365639e+01
2.280000000000000000e+02 5.710786235433563888e+03 1.133222312458813885e+00 2.413469560439342881e-02 2.655121704054230847e+01
